laburLabel,laburQid
ERL_ta,Q828
ERL_n,Q832
ERL_keran,Q833
ERL_na,Q834
ba_ERL,Q835
ERL_la,Q836
bait_ERL,Q837
ERL_nean,Q838
ERL_nez,Q839
ERL_lako,Q840
ERL_larik,Q841
ERL_nik,Q842
ERL_neko,Q843
ERL_nerako,Q844
ERL_netik,Q845
ERL_lakoan,Q846
ERL_netz,Q847
ERL_ki,Q848
ERL_ino,Q849
ABS,Q850
ABS_SG2,Q851
ABS_PL2,Q852
ABS_PL1,Q853
ABS_ek,Q854
ABS_SG1,Q855
DEK,Q856
DEK_eta,Q857
DEK_ta,Q858
DEK_ota,Q859
DEK_a,Q860
DEK_au,Q861
DEK_ori,Q862
DEK_ekin,Q863
ABL_tik,Q864
ABL_ik,Q865
ABL_BIZ,Q866
ABL_DNB,Q867
GRA_KOMP,Q868
GRA_SUP,Q869
GRA_egi,Q870
GRA_xe,Q871
ERG_SG,Q872
ERG_PL2,Q873
ERG_PL1,Q874
DAT_SG,Q875
DAT_PL2,Q876
DAT_PL1,Q877
INE_SG,Q878
INE_BIZ,Q879
INE_MUG,Q880
SOZ_SG,Q881
SOZ_PL2,Q882
SOZ_PL1,Q883
SOZ_MUG,Q884
GEN_SG,Q885
GEN_PL2,Q886
GEN_PL1,Q887
GEN_SG_re,Q888
ALA,Q889
ALA_BIZ,Q890
GEL,Q891
BNK,Q892
DESK,Q893
PAR,Q894
INS_SG1,Q895
INS_SG2,Q896
INS_PL2,Q897
INS_PL1,Q898
INS_MUG1,Q899
INS_MUG2,Q900
ABU,Q901
ABU_BIZ,Q902
ABU_DNB,Q903
PRO,Q904
DES_PL1,Q905
DES_SG,Q906
DES_PL2,Q907
ABZ,Q908
ABZ_BIZ,Q909
AMM,Q910
AMM_tu,Q911
AMM_tze,Q912
AMM_i,Q913
AMM_te,Q914
ASP,Q915
ASP_ko,Q916
ASP_tzear,Q917
ASP_tzen,Q918
ASP_en,Q919
ASP_tzeke,Q920
ASP_ten,Q921
ASP_teke,Q922
ASP_tear,Q923
MOT,Q924
